drugname,ADR_Count,indi_pt,Severe_Outcome_Rate,ADR_Rate
FOSAMAX,631847,"OSTEOPOROSIS, ARTHRITIS, ANKYLOSING SPONDYLITIS",0.008069991627720001,0.11666598656576062
THYMOGLOBULIN,231441,"BONE MARROW CONDITIONING REGIMEN, APLASTIC ANAEMIA, PREMEDICATION",0.24571705099787852,0.04273390962806851
NEXIUM,107603,"BARRETT'S OESOPHAGUS, THROMBOSIS PROPHYLAXIS, CARDIAC DISORDER",0.032973058371978475,0.019868117048012477
REVLIMID,105905,"MANTLE CELL LYMPHOMA, MULTIPLE MYELOMA, DRUG USE FOR UNKNOWN INDICATION",0.18589301732684954,0.01955459360770389
YASMIN,102651,"MENORRHAGIA, DEPRESSION, CONTRACEPTION",0.0021626676798082826,0.01895376600183572
ENBREL,100748,"PSORIATIC ARTHROPATHY, PSORIASIS, RHEUMATOID ARTHRITIS",0.011762020089728828,0.018602390791642994
AREDIA,94944,"MULTIPLE MYELOMA, HYPERTENSION, FEBRILE NEUTROPENIA",0.1801798955173576,0.01753072409697217
HUMIRA,81666,"PSORIATIC ARTHROPATHY, TYPE 2 DIABETES MELLITUS, ANTI-INFECTIVE THERAPY",0.08657213528273701,0.015079037265159773
REMICADE,76592,"PSORIATIC ARTHROPATHY, IRIDOCYCLITIS, JUVENILE ARTHRITIS",0.04185815750992271,0.014142159799832455
YAZ,74359,"FIBROIDS, MENOPAUSE, PNEUMONIA",0.010220686130797886,0.01372985247226527
ZOMETA,63388,"MULTIPLE MYELOMA, METASTASES TO BONE, HYPERCALCAEMIA",0.1955890704865274,0.011704136533734328
DOXORUBICIN,53352,"BREAST CANCER METASTATIC, ANTIEMETIC SUPPORTIVE CARE, PROPHYLAXIS",0.08539511171090118,0.009851061594431026
VIDAZA,51524,"ACUTE MYELOMONOCYTIC LEUKAEMIA, INR INCREASED, DRUG USE FOR UNKNOWN INDICATION",0.24514789224439096,0.009513534592732497
ERLOTINIB TABLET,49580,"NON-SMALL CELL LUNG CANCER, ADENOCARCINOMA PANCREAS, PRODUCT USED FOR UNKNOWN INDICATION",0.1645824929407019,0.009154589028562945
LYRICA,47935,"NEUROPATHY PERIPHERAL, POLYNEUROPATHY, HYPERTENSION",0.03552727652028789,0.008850851655590254
NUVARING,45745,"CONTRACEPTION, MENORRHAGIA, HEADACHE",0.029751885451961963,0.00844648396755974
GENOTROPIN,43335,"BODY HEIGHT BELOW NORMAL, HEAD CIRCUMFERENCE ABNORMAL, SLEEP DISORDER",0.0012230298834660204,0.008001494867946253
ICL670A,42947,"BLOOD IRON INCREASED, DELAYED PUBERTY, IRON OVERLOAD",0.32558735185228305,0.00792985346933628
CLOLAR,41048,"ACUTE MYELOID LEUKAEMIA, PRODUCT USED FOR UNKNOWN INDICATION, BONE MARROW CONDITIONING REGIMEN",0.022973104657961412,0.007579216830263247
PRADAXA,39974,"ATRIAL FIBRILLATION, HYPERSENSITIVITY, HYPERTENSION",0.10486816430679942,0.007380910484626365
BLINDED ALISKIREN,37208,"CARDIAC FAILURE, INSOMNIA, CARDIAC FAILURE CHRONIC",0.0,0.006870188555360429
PEGINTRON,36635,"HEPATITIS C, HEPATIC CIRRHOSIS, CHRONIC HEPATITIS C",0.006824075337791729,0.0067643882424647745
TYSABRI,35982,"MULTIPLE SCLEROSIS, PREMEDICATION, DEPRESSION",0.034072591851481294,0.006643816507175311
INCIVEK,35647,"HEPATITIS C, ANXIETY, HYPERTENSION",0.004768984767301596,0.006581961175901237
SEROQUEL,33340,"SLEEP DISORDER, ANXIETY, AFFECTIVE DISORDER",0.01220755848830234,0.006155990282619778
HUMIRA 40 MG/ 0.8 ML PRE-FILLED SYRINGE,32626,"RHEUMATOID ARTHRITIS, PRODUCT USED FOR UNKNOWN INDICATION, RAYNAUD'S PHENOMENON",0.13510696990130572,0.0060241553377550355
CLARITHROMYCIN,31720,"PRODUCT USED FOR UNKNOWN INDICATION, PNEUMONIA, HELICOBACTER INFECTION",0.49993694829760404,0.0058568689791451516
THYMOGLOBULINE,29704,"BONE MARROW CONDITIONING REGIMEN, APLASTIC ANAEMIA, PREMEDICATION",0.2702329652572044,0.005484629134821173
HUMIRA 40 MG/0.8 ML PEN,29543,"ANKYLOSING SPONDYLITIS, DEPRESSION, PAIN MANAGEMENT",0.02501438581051349,0.0054549016472536325
MAGNEVIST,29135,"NUCLEAR MAGNETIC RESONANCE IMAGING, VENOUS PRESSURE INCREASED, KT/V",0.04310966191865454,0.005379567393045208
AVASTIN,28861,"NON-SMALL CELL LUNG CANCER, PRODUCT USED FOR UNKNOWN INDICATION, COLON CANCER METASTATIC",0.391705069124424,0.005328975271346413
AVONEX,28262,"MULTIPLE SCLEROSIS, CYST, PRODUCT USED FOR UNKNOWN INDICATION",0.010473427216757484,0.005218374246172771
NEXAVAR,27597,"RENAL CELL CARCINOMA, CARCINOMA HEPATOCELLULAR, HEPATIC NEOPLASM MALIGNANT",0.20850092401347972,0.005095586797524236
TARCEVA,27258,"HEPATIC NEOPLASM MALIGNANT, PRODUCT USED FOR UNKNOWN INDICATION, LUNG NEOPLASM MALIGNANT",0.4901313375889647,0.0050329928951304715
CLOZARIL,27177,"SCHIZOPHRENIA, URINARY TRACT INFECTION, HYPERTENSION",0.06258968981123744,0.00501803682995674
SEROQUEL XR,25730,"SLEEP DISORDER, MENTAL DISORDER, HYPERTENSION",0.0012048192771084338,0.004750858727408725
ADRIACIN,25545,"MALIGNANT LYMPHOMA, ADULT T-CELL LYMPHOMA/LEUKAEMIA, HYPERTENSION",0.0005480524564494031,0.004716699813123042
REBIF,25267,"MULTIPLE SCLEROSIS, PRODUCT USED FOR UNKNOWN INDICATION, NEUROPATHY PERIPHERAL",0.02006569834171053,0.004665369120304557
CLONAZEPAM,25194,"SEDATION, MUSCLE SPASMS, DEPRESSION",0.0027387473207906646,0.004651890197370207
TOCILIZUMAB,23807,"JUVENILE ARTHRITIS, HISTIOCYTOSIS HAEMATOPHAGIC, RHEUMATOID ARTHRITIS",0.15104801108917545,0.004395790661617548
TEMOZOLOMIDE,23281,"GLIOBLASTOMA MULTIFORME, PROPHYLAXIS, OVARIAN CANCER",0.392423005884627,0.004298668559378256
ZOLOFT,23068,"DEPRESSION, POSTPARTUM DEPRESSION, ONYCHOCRYPTOSIS",0.016819837003641407,0.00425933964725474
SPIRIVA,22909,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE, GASTROOESOPHAGEAL REFLUX DISEASE, CARDIAC DISORDER",0.004408747653760531,0.004229981445247046
CHANTIX,22732,"SMOKING CESSATION THERAPY, DIABETES, BACK PAIN",0.004663030089741334,0.004197299673200744
PROGRAF,22410,"LIVER TRANSPLANT, RENAL TRANSPLANT, RHEUMATOID ARTHRITIS",0.12936189201249443,0.004137844698065664
POSACONAZOLE,22081,"ANTIFUNGAL PROPHYLAXIS, PROPHYLAXIS, TUMOUR LYSIS SYNDROME",0.22634844436393278,0.004077097223471125
MEROPEN,21632,"PNEUMONIA, STOMATITIS, HYPERTENSION",0.0030048076923076925,0.003994192615285874
VX-950 (TELAPREVIR),21403,"HEPATITIS C, RASH, MOOD SWINGS",0.0013082278185301125,0.0039519094186835965
SANDOSTATIN LAR,20989,"CARCINOID SYNDROME, CARCINOID TUMOUR, ACROMEGALY",0.156272333126876,0.0038754673077956367
XARELTO,20800,"KNEE ARTHROPLASTY, HIP ARTHROPLASTY, THROMBOSIS PROPHYLAXIS",0.05201923076923077,0.0038405698223902634
EVOLTRA,19889,"ACUTE MYELOID LEUKAEMIA, BACTERAEMIA, PROPHYLAXIS",0.1996581024687013,0.003672360249880767
ACCUTANE,19806,"ACNE, PRODUCT USED FOR UNKNOWN INDICATION, ACNE CYSTIC",0.001969100272644653,0.0036570348991471903
GILENYA,19471,"RELAPSING-REMITTING MULTIPLE SCLEROSIS, PAIN, NEUROPATHY PERIPHERAL",0.05449129474603256,0.0035951795678731166
IBUPROFEN,19247,"SUICIDE ATTEMPT, PAIN, THROMBOSIS PROPHYLAXIS",0.07736270587624046,0.003553819585170452
SUTENT,18850,"BLADDER TRANSITIONAL CELL CARCINOMA, PAIN, CERVIX CANCER METASTATIC",0.11007957559681697,0.0034805164015411765
SOLIRIS,18360,"PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA, CONSTIPATION, GASTROOESOPHAGEAL REFLUX DISEASE",0.24705882352941178,0.003390041439379098
LISINOPRIL,18065,"SMOKING CESSATION THERAPY, PRODUCT USED FOR UNKNOWN INDICATION, HYPERTENSION",0.2549128148353169,0.0033355718193019282
AFINITOR,17580,"METASTATIC MALIGNANT MELANOMA, THROMBOSIS, NEUROENDOCRINE CARCINOMA",0.21763367463026165,0.003246020071039463
VOLTAREN,17223,"ANKYLOSING SPONDYLITIS, ARTHRALGIA, PAIN",0.23439586599314868,0.0031801025986070916
